lattes id;coordenador;ano inicio;ano fim;titulo;type
1049090105081864;Noêmia Lazzareschi;2018.0;Atual;As novas configurações dos mundos do trabalho e suas repercussões sociais;blockchain
260303520888425;Bruno Bogaz Zarpelão;2019.0;Atual;Aprendizado de Máquina para Detecção de Ciberataques;blockchain
3646456746921258;Wilson Engelmann;2021.0;Atual;Sistema do Direito, novas tecnologias, globalização e o constitucionalismo contemporâneo: desafios e perspectivas;blockchain
353331129592565;LEMOS, GUIDO;2019.0;Atual;GT V4H - Video Síncrono para Teleconsultoria, Teleconsulta e Telediagnóstico em Telessaúde;blockchain
6534637358360971;Otto Carlos Muniz Bandeira Duarte;2019.0;Atual;ACCRUE - SFI: Infraestrutura Avançada e Colaborativa de Pesquisa para Internet do Futuro Segura;blockchain
7534400645876830;José Neuman de Souza;2018.0;2023;CUIDA: Confiabilidade e Segurança na Coleta, Armazenamento e Análise de Dados Médicos em Ambientes Computacionais;blockchain
5485189907016634;Jorge Renato de Souza Verschoore Filho;2022.0;Atual;Chamada Universal CNPq/MCTI/FNDCT Nº 18/2021 -  Modelo de governança de rede para a adoção de tecnologias habilitadoras no contexto da indústria da saúde.;blockchain
7302726381067992;Bernardo Machado David;2019.0;2020;S2LEGDES: Secret Single Leader Election on the Edge of Speed;blockchain
7302726381067992;Bernardo Machado David;2019.0;Atual;Scalable Proof-of-Stake Blockchain Consensus Protocols;blockchain
7302726381067992;Bernardo Machado David;2018.0;2019;Efficient Provably Secure Blockchain Protocols and Applications;blockchain
3696299629938135;Miriam Christi Midori Oishi Nemoto;2021.0;Atual;Percepção dos gestores quanto a adoção do blockchain na cadeia de suprimentos;blockchain
5486578243421803;Ricardo Augusto Rabelo Oliveira;2016.0;Atual;Automacao para Industria 4.0;blockchain
8587567074814594;Marcos A. Simplicio Jr.;2019.0;Atual;USP Blockchain Research Initiative (UBRI)USP Blockchain Research Initiative (UBRI);blockchain
8587567074814594;Marcos A. Simplicio Jr.;2019.0;Atual;Amazon Biobank: Blockchain as an enabling technology for the Amazon 4.0;blockchain
8855591065090771;Emerson Garbardo;2020.0;Atual;Administração Pública Digital e a sua regulação a partir do modelo de Estado Social de Direito;blockchain
5941653866734201;Bruno José Torres Fernandes;2022.0;Atual;Utilização de smart contracts em blockchain na esfera jurídica: aplicabilidade e impactos de uma rede permissionada no processo de M&A com Due Diligence.;blockchain
3405035591225053;Renato Pires dos Santos;2017.0;2020;Aplicações da tecnologia blockchain no aprendizado de Ciências e Matemática;blockchain
3322255992735977;Joaquim Vinicius Carvalho Assunção;2018.0;2018;Utilização de Algoritmos Baseados em Blockchain para Aumento da Confiabilidade e Transparência de Sistemas de Votação Eletrônicos;blockchain
1790013583930834;;2019.0;Atual;SecHygex: Mecanismo Integrado de Autenticação, Autorização e Contabilização para Internet das Coisas em Leitos Hospitalares;blockchain
1207757858897815;Lázaro Eduardo da Silva;2020.0;2021;PLATAFORMA BLOCKCHAIN PARA RASTREAMENTO DA PRODUÇÃO E COMERCIALIZAÇÃO DO CAFÉ;blockchain
5326223719623265;Leonardo Lima Gomes;2017.0;2020;Novo Mecanismo de Contratação de Energia em uma Bolsa utilizando Blockchains e Metodologia Inovadora de Marcação a Mercado com Garantias Multilaterais;blockchain
9075028877937035;Sérgio Luís Ribeiro;2019.0;Atual;Agro Trace Chain;blockchain
6874544707185541;Gilson Schwartz;2022.0;Atual;Venturing into the Metaverse: applications & underlying technical, economical and legal aspects;blockchain
6874544707185541;Marcos Antonio Simplicio Junior;2021.0;Atual;Segurança com confiança-zero: algoritmos, protocolos e arquiteturas;blockchain
6874544707185541;;2021.0;Atual;USP Coin;blockchain
6874544707185541;Marcos Antonio Simplicio Junior;2019.0;2020;Viabilidade da tecnologia DLT (Distributed Ledger Technology) no ecossistema de saúde do estado de São Paulo;blockchain
6874544707185541;Marcos Antonio Simplicio Junior;2019.0;Atual;USP Blockchain Research Initiative (UBRI);blockchain
4205779497458915;;2022.0;Atual;Sistemas de Gestão e Suporte aos Veículos Elétricos Compartilhados da UFF;blockchain
4205779497458915;;2022.0;Atual;Novos Mecanismos para Gestão e Controle de Aplicações IoT com Multimídia, Segurança e Qualidade de Serviço;blockchain
4205779497458915;Célio Vinicius Neves Albuquerque;2020.0;Atual;MEGACHAIN: Blockchain para Integração, Privacidade e Auditoria de Sistemas de Megacidades;blockchain
4205779497458915;Diogo Menezes Ferrazani Mattos;2020.0;Atual;InovaNet: Cadeia de Blocos, Inteligência Artificial e Internet das Coisas para Inovação em Redes de Computadores;blockchain
4205779497458915;Débora Christina Muchaluat Saade;2020.0;Atual;e-Health Rio: Rede de Pesquisa e Inovação em Saúde Digital Aplicada a Doenças Crônicas Não Transmissíveis;blockchain
4205779497458915;Diogo Menezes Ferrazani Mattos;2019.0;Atual;Sec-IoT: Segurança de Redes Virtualizadas para Internet das Coisas;blockchain
4205779497458915;Débora Christina Muchaluat Saade;2019.0;Atual;HealthNet: Redes e Sistemas Avançados e Seguros Aplicados à Saúde;blockchain
8098209307634371;;2019.0;2021;[Projeto Regular FAPESP:] Explorando DLTs e a inteligência computacional em IoT;blockchain
7060564895078069;Júlio Cesar Andrade de Abreu;2019.0;Atual;Blockchain Aplicada ao Setor Público: Potenciais de Inovação Democrática;blockchain
1243090119249735;;2021.0;Atual;Criação de modelos testes para avaliação de Smart Contracts;blockchain
2332604239081900;Cristiano André da Costa;2020.0;Atual;Projeto CAPES Telemedicina e Análise de Dados Médicos - Colaborador - MinhaSaúdeDigital: Modelo Inteligente de Blockchain para Informações de Saúde e Interação com Pacientes no âmbito da COVID-19;blockchain
2328562382853560;;2022.0;Atual;Tokens não fungíveis (NFTS): arte ou commodity;blockchain
6614550860293610;Guido Lemos de Souza Filho;2019.0;2021;V4H - Video Síncrono para Teleconsultoria, Teleconsulta e Telediagnóstico em Telessaúde;blockchain
7647023564369066;Rogerio Antonio Casagrande;2022.0;Atual;Blockchain Privada: Um Estudo de caso em uma Universidade Comunitária de SC;blockchain
1095304607841635;Alessandro Garcia;2019.0;Atual;FAPERJ PRONEM 2019: MAssiSo - Modernização Assistida de Softwares Legados para Adoção de Tecnologias Disruptivas;blockchain
5309601039663971;Adilson Roberto Batistel;2019.0;Atual;Blockchain IoT;blockchain
1281795173625067;Jauberth Weyll Abijaude;2019.0;Atual;IoT Cocoa ? Sistema de Controle e Acompanhamento para a Produção de Cacau Gourmet com suporte a Blockchain;blockchain
9183888684205110;Luiz Acacio Guimarães Rolim;2019.0;2021;Marketplace Descentralizado para a Geração Distribuída;blockchain
9183888684205110;José Reynaldo Formigoni Filho;2019.0;2021;BlockIoT;blockchain
6447041379095135;Luiz Acácio G. Rolim;2019.0;2021;PD-02866-0506 - Marketplace Descentralizado para Comercialização de Energia Elétrica Baseado em Blockchain;blockchain
9359546788802277;JERFFESON TEIXEIRA DE SOUZA;2021.0;2022;Serviço e Plataforma Web de Registro e Validação de Documentos apoiados da Tecnologia Blockchain;blockchain
2199007432751774;;2021.0;Atual;BLOCKCHAIN, CRIPTOMOEDAS E PROTEÇÃO DE DADOS:  as novas perspectivas normativas para o Direito Internacional Privado;blockchain
8792400749259477;Marco Aurelio Amaral Henriques;2017.0;Atual;Novos mecanismos de consenso para blockchains;blockchain
6177045546956476;Diogo Menezes Ferrazani Mattos;2023.0;Atual;GT-SmartMed: Dados Médicos Distribuídos com Controle de Acesso baseado em Atributos através de Contratos Inteligentes;blockchain
6177045546956476;ALBUQUERQUE, CELIO V.;2020.0;Atual;MEGACHAIN: Blockchain para Integração, Privacidade e Auditoria de Sistemas de Megacidades.;blockchain
6177045546956476;Diogo Menezes Ferrazani Mattos;2020.0;Atual;InovaNet: Cadeia de Blocos, Inteligência Artificial e Internet das Coisas para Inovação em Redes de Computadores.;blockchain
2422140648920130;Jorge Rady de Almeida Jr.;2018.0;Atual;Performance Analysis of a Blockchain Conceptual Model Versus Relational and Non-Relational Databases.;blockchain
